given_address,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,confidence_city_level,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"16-B, Ferozeshah Road New Delhi-1",28.5204237,77.2022859,"Arora di Hatti, F-16,Saidulajab Main MB Road, Mehrauli Badarpur Road, New Delhi - 110030, Delhi, India",Arora di Hatti,"F-16,Saidulajab Main MB Road",Mehrauli Badarpur Road,,,110030,New Delhi,Hauz Khas Tehsil,Delhi,DL,,,India,in,0.1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"No.1, First Floor Main Road Domlur Second Stage Benguluru-560071",13.018064,77.654819,"4C-1008, First Floor, Tavarekere Main Rd, BTM Layout, Banasavadi, Bangalore - 560043, Karnataka, India",,4C-1008,"First Floor, Tavarekere Main Rd, BTM Layout",East Bangalore,Banasavadi,560043,Bangalore,Bangalore,Karnataka,KA,,,India,in,0.33249999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3, Motilal Nehru Place New Delhi",28.6062862,77.2183502,"Motilal Nehru Place, New Delhi - 100011, Delhi, India",Motilal Nehru Place,,Motilal Nehru Place,Chanakya Puri Tehsil,,100011,New Delhi,,Delhi,DL,1,0.95,India,in,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9,Firozshah Road New Delhi ",28.641616550000002,77.22068347743615,"8-9, State Entry Road, New Delhi Railway Station, New Delhi - 8572, Delhi, India",8-9,,State Entry Road,Chanakya Puri Tehsil,New Delhi Railway Station,8572,New Delhi,,Delhi,DL,1,0.16666666666666666,India,in,0.08333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"17,Dr.B.R.Mehta Lane New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
31 Shamla Hills Bhopal M. P.,17.441919,78.398417,"71-72, Rd Number 36, Kakatiya Hills, Kavuri Hills Phase 1, Kavuri Hills, Jubilee Hills, Hafeezpet, Hyderabad - 500033, Telangana, India",,71-72,"Rd Number 36, Kakatiya Hills, Kavuri Hills Phase 1, Kavuri Hills, Jubilee Hills",West Zone,Hafeezpet,500033,Hyderabad,Hyderabad,Telangana,TG,,,India,in,0.04411764705882353,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45 Bunglows Bhopal M. P.,23.238131,77.399081,"45 Bunglows, Bhopal - 462001, Madhya Pradesh, India",,,45 Bunglows,,,462001,Bhopal,Bhopal,Madhya Pradesh,MP,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9 Santoshi Ayodhya Bipas Bhopal MP,,,,,,,,,,,,,,,,,,,,,
"197, North Avenue. New Delhi",28.6204216,77.1998882,"North Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",North Avenue,,North Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai,19.0759899,72.8773928,"Mumbai, Mumbai Suburban, India",,,,,,,Mumbai,Mumbai Suburban,Maharashtra,MH,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"G/3 Phonix Building, Bind Garden Road Pune - 411 001",18.561587,73.883414,"Building 3, Pune -, Maharashtra, India",,,Building 3,Yerawda Sangamwadi,,,Pune,Pune,Maharashtra,MH,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G/3 Phonix Building Bind Garden Road Pune - 411 001,18.519479,73.870703,"Pune, India",Pune,,,,,,Pune,Pune,Maharashtra,MH,,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
G/3 Phonix Building Bind Garden Road Pune - 411 001,18.519479,73.870703,"Pune, India",Pune,,,,,,Pune,Pune,Maharashtra,MH,,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"82, Narbada Road Jabalpur M.P.",23.1772845,79.909991,"Narmada Hospital, Jabalpur, mr4 road, Vijay Nagar, Jabalpur - 482001, Madhya Pradesh, India","Narmada Hospital, Jabalpur",,mr4 road,Vijay Nagar,Vijay Nagar,482001,Jabalpur,Adhartal Tahsil,Madhya Pradesh,MP,,,India,in,0.3867857142857143,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"S.F.S. Tirupati Avenu, 31, Pushpakunj Society, Opp-Apsara Cinema, Kankaria, Maninagar, Ahmedabad-28",22.722618,75.829771,"Tirupati Nagar Garden No. 1, Tirupati Nagar, Indore -, Madhya Pradesh, India",Tirupati Nagar Garden No. 1,,Tirupati Nagar,,,,Indore,Indore,Madhya Pradesh,MP,,,India,in,0.08735632183908046,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"211/213, Raja Bhavan Kalbadevi Road Above Central Bank of India Mumbai-400002",,,,,,,,,,,,,,,,,,,,,
At Ankleshwar Dist Bharuch,21.590864250000003,72.9694248537309,"Ankleshwar Taluka, India",Ankleshwar Taluka,,,,,,,Ankleshwar Taluka,Gujarat,GJ,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
" Himayat Nagar, Hyderabad-500 029",17.4039678,78.483456,"Himayat Nagar, Hyderabad - 500029, Telangana, India",Himayat Nagar,,,Greater Hyderabad Municipal Corporation Central Zone,Himayat Nagar,500029,Hyderabad,Himayatnagar mandal,Telangana,TG,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tech Park on Tower E, Airport Road, Yerwada, Pune- 411006",18.56465,73.906982,"Airport New Road, Pune - 411006, Maharashtra, India",,,Airport New Road,Nagar Road,,411006,Pune,Pune,Maharashtra,MH,1,0.95,India,in,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rajkot,22.3051991,70.8028335,"Rajkot - 360001, Gujarat, India",Rajkot,,,,,360001,Rajkot,Rajkot Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"House No.40/1, Khyala Village New Delhi -110018",9.1743,76.532472,"100, Village, Alappuzha -, Kerala, India",,100,Village,,,,Alappuzha,Alappuzha,Kerala,KL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"House No-40/1, Khyala Village New Delhi-110018",28.63007,77.075275,"Talwar's House, B-30, New Krishna Park, Najafgarh Road, Vikaspuri, Delhi - 110018, Delhi, India",Talwar's House,B-30,"New Krishna Park, Najafgarh Road",,Vikaspuri,110018,Delhi,South West,Delhi,DL,,,India,in,0.049999999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"128-130, South Avenue, New Dethi",10.015019,76.298243,"B.M.C.R.R.R.A 128, 128, B.T.S Mamangalam Cross Road, Ernakulam - 682024, Kerala, India",B.M.C.R.R.R.A 128,128,B.T.S Mamangalam Cross Road,,,682024,Ernakulam,Ernakulam,Kerala,KL,,,India,in,0.3969642857142857,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
