given_address,lat,lon,formatted,name,district,housenumber,street,county_code,postcode,suburb,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
BJP	Goa carbon ltd	Dempo house campal panaji Goa	Goa	Goa	100000	2004,15.493764,73.818937,"Campal, Panjim, GA, India",Campal,,,,,,Campal,Panjim,North Goa,Goa,,GA,India,in,0.0012975778546712806,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
INC	Goa Carbon Ltd	Dempo House Campal Panaji Goa	Goa	Goa	500000	2014,15.493764,73.818937,"Campal, Panjim, GA, India",Campal,,,,,,Campal,Panjim,North Goa,Goa,,GA,India,in,0.0012975778546712806,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
INC	Goa Carbon Ltd	Dempo House Campal Panaji Goa	Goa	Goa	500000	2014,15.493764,73.818937,"Campal, Panjim, GA, India",Campal,,,,,,Campal,Panjim,North Goa,Goa,,GA,India,in,0.0012975778546712806,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
INC	Goa Carbon ltd	Dempo House Campel Panaji	Madhya Pradesh	Madhya Pradesh	100000	2004,,,,,,,,,,,,,,,,,,,,,,
"BJP	Goa Carbon Ltd.	Dempo House, Campal, Panaji-Goa 403001	Goa	Goa	500000	2014",15.4989946,73.8282141,"Panaji - 403001, GA, India",Panaji,,,,,403001,,Panaji,Tiswadi,Goa,,GA,India,in,0.15,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Goa Carbon Ltd.	Dempo House, Campal, Panaji-Goa 403001	Goa	Goa	500000	2014",15.4989946,73.8282141,"Panaji - 403001, GA, India",Panaji,,,,,403001,,Panaji,Tiswadi,Goa,,GA,India,in,0.15,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Goa Friends Engineering &Electricals Pvt.Ltd	Shop no.2Adwalpalkar Residency Shankar wadi Taleigo 			200000	2011,,,,,,,,,,,,,,,,,,,,,,
"CPI	""Goa State Council, ",38.9041999,-77.0388557,"Council on Library and Information Resources, 1707 L Street Northwest, Washington, DC 20036, United States of America",Council on Library and Information Resources,,1707,L Street Northwest,,20036,Golden Triangle,Washington,,District of Columbia,,DC,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI""	""Velho's Building, 2nd Floor, Opp. Municipal",9.013049,7.526284,"VACANT BUILDING, Abuja, Federal Capital Territory, Nigeria",,,,VACANT BUILDING,,,,Abuja,Abuja Municipal Area Council (AMAC),Federal Capital Territory,0.9025,,Nigeria,ng,0.14440000000000003,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gardens, Panaji, Goa - 403 001""	Goa	Goa	24339	2013",14.995508,74.03905,"Shambhala Gardens @ Palm Trees Ayurvedic Heritage, Patnem, Canacona - 403702, GA, India",Shambhala Gardens @ Palm Trees Ayurvedic Heritage,,,Patnem,,403702,,Canacona,South Goa,Goa,,GA,India,in,0.475,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI	Goa State CPI	Velho's Building Panjim, Goa	Goa	Goa	25000	2007",,,,,,,,,,,,,,,,,,,,,,
"CPI	Goa State CPI	Velho's Building Panjim, Goa	Goa	Goa	25000	2007",,,,,,,,,,,,,,,,,,,,,,
